id;name;price;type;efficiency;wattage;modular;color
975;SeaSonic PRIME Ultra Gold 750;109.99;ATX;gold;750;Full;Black
976;KOLINK Classic Power;;ATX;bronze;500;false;Black / Red
977;Corsair G800;;ATX;plus;800;false;
978;FSP Group Hydro G PRO ATX3.0(PCIe5.0);;ATX;gold;1000;Full;Black
979;Cooler Master MWE Gold 1250 - V2;;ATX;gold;1250;Full;Black
980;In Win Classic;;ATX;platinum;900;Full;
981;Cooler Master MWE Gold 1050 - V2;;ATX;gold;1050;Full;Black
982;Corsair VS550;;ATX;;550;false;
983;Cougar POLAR;209.99;ATX;platinum;1050;Full;White
984;EVGA SuperNOVA 650 P6;140.11;ATX;platinum;650;Full;Black / Silver
985;be quiet! Pure Power 11 CM;;ATX;gold;600;Semi;Black
986;Corsair HX650;;ATX;gold;650;Semi;
987;ENDORFY Supremo FM5;;ATX;gold;650;Full;Black
988;Corsair CX450M (2021);;ATX;bronze;450;Semi;Black
989;In Win P85FII;;ATX;gold;850;false;Black / Yellow
990;Super Flower LEADEX VII Platinum PRO;269.99;ATX;platinum;1200;Full;Black
991;SeaSonic FOCUS Gold;;ATX;gold;750;Semi;
992;Athena Power AP-MFATX40;;Mini ITX;bronze;400;false;
993;Cooler Master MWE Bronze 550;132.19;ATX;bronze;550;false;Black
994;FSP Group HYPER K PRO;;ATX;plus;600;false;Black / Yellow
995;SeaSonic FOCUS Gold;;ATX;gold;650;Semi;
996;FSP Group Dagger Pro;;SFX;gold;750;Full;Black / Gold
997;Antec High Current Gamer Gold;;ATX;gold;650;Full;Black
998;Xigmatek NRP-PC602;;ATX;bronze;600;false;
999;Apex AG-M;;ATX;gold;750;Full;Black
1000;EVGA SuperNOVA 750 B2;;ATX;bronze;750;Semi;
1001;Thermaltake Toughpower PF1 - TT Premium Edition;;ATX;platinum;850;Full;Black
1002;NZXT C550;;ATX;bronze;550;Semi;Black
1003;KOLINK Classic Power;;ATX;bronze;600;false;Black / Red
1004;Thermaltake Toughpower GF A3 ATX 3.0;;ATX;gold;1200;Full;Black
1005;Corsair TX850M;;ATX;bronze;850;Semi;
1006;GameMax GP;;ATX;bronze;550;false;Black
1007;Antec High Current Gamer Gold;;ATX;gold;750;Full;Black
1008;Thermaltake TR2;;ATX;;600;false;
1009;FSP Group Hydro PTM PRO,Gen5;269.99;ATX;platinum;1200;Full;Black
1010;EVGA 460 BP;;ATX;bronze;460;false;Black
1011;Apevia Spirit;;ATX;;700;false;
1012;be quiet! System Power 9;;ATX;bronze;400;false;Black
1013;Zalman TX;;ATX;;700;false;
1014;EVGA SuperNOVA NEX750G Gold;;ATX;gold;750;Full;
1015;Fractal Design Ion+ 860P;;ATX;platinum;860;Full;Black
1016;Super Flower LEADEX VII Platinum PRO;229.99;ATX;platinum;1000;Full;Black
1017;Deepcool DQ-M-V2L;179.19;ATX;gold;850;Full;Black / Green
1018;Apevia ATX-JP1000W;91.97;ATX;bronze;1000;false;
1019;Corsair RM650i;;ATX;gold;650;Full;
1020;Silverstone Essential;;ATX;bronze;650;false;Black
1021;Corsair TX650M;;ATX;bronze;650;Semi;
1022;Antec VP PLUS;;ATX;plus;500;false;Black
1023;Cooler Master 700W MasterWatt Lite 230V;;ATX;plus;700;false;
1024;Segotep GM;;ATX;gold;850;Full;White
1025;be quiet! Pure Power 11 FM 850;299.89;ATX;gold;850;Full;Black
1026;KOLINK Modular Power;;ATX;bronze;500;Semi;Black
1027;Cooler Master V1300 Platinum;391.9;ATX;platinum;1300;Full;Black
1028;Cooler Master MWE White V2 230V;;ATX;plus;400;false;Black
1029;Cooler Master V750;;ATX;gold;750;Full;
1030;Montech GAMMA II;;ATX;gold;750;false;Black
1031;SHARKOON SilentStorm Icewind Black;;ATX;bronze;650;Semi;Black
1032;KOLINK Core RGB;;ATX;plus;500;false;Black
1033;SHARKOON SilentStorm Cool Zero 850;168.81;ATX;gold;850;Full;Black
1034;LC-Power OFFICE SERIES;;ATX;;600;false;Black
1035;Corsair VS500;199.93;ATX;plus;500;false;
1037;EVGA 450 W3;;ATX;plus;450;false;Black
1038;ENDORFY Supremo FM5;;ATX;gold;1000;Full;Black
1039;Deepcool PX1000P;229.99;ATX;platinum;1000;Full;Black / Silver
1040;Cooler Master MWE Gold V2 ATX3.0;;ATX;gold;1250;Full;White
1041;CoolMax V-500;32.79;ATX;;500;false;
1042;Deepcool PQ650M;128.98;ATX;gold;650;Full;Black
1043;SeaSonic M12II;;ATX;bronze;520;Full;
1044;Thermaltake Toughpower GF1 Snow - TT Premium;;ATX;gold;650;Full;White
1045;be quiet! System Power 9;;ATX;bronze;700;false;Black
1046;Cooler Master 600W MasterWatt Lite 230V;;ATX;plus;600;false;
1047;ADATA XPG PYLON;;ATX;bronze;450;false;Black
1048;Cooler Master G650M;;ATX;bronze;650;Semi;
1049;Cougar BXM750;97.62;ATX;bronze;750;Semi;Orange / Black
1050;Corsair GS700;;ATX;bronze;700;false;
1051;SeaSonic Prime Fanless PX-450;;ATX;platinum;450;Full;Black
1052;Corsair Vengeance 650M;;ATX;bronze;650;Semi;
1053;Cooler Master MasterWatt Lite 500W Full Range;;ATX;plus;500;false;
1054;Cooler Master MWE GOLD 550 V2 FULL MODULAR;;ATX;gold;550;Full;Black
1055;Enermax Revolution D.F. 12;149.99;ATX;gold;850;Full;White
1056;Cooler Master MWE Gold V2 ATX3.0;;ATX;gold;750;Full;Black
1057;Athena Power Apollo;49.99;SFX;;300;false;
1058;Thermaltake Toughpower GF1 ARGB;;ATX;gold;650;Full;
1059;LC-Power LC6650 V2.3;;ATX;bronze;650;false;Black
1060;Cooler Master V550 Gold V2;;ATX;gold;550;Full;Black
1061;Corsair RM450;;ATX;gold;450;Full;
1062;Chieftec ATMOS;149.15;ATX;gold;750;Full;Black
1063;FSP Group HEXA+;;ATX;;500;false;
1064;Enermax MAXREVO;;ATX;gold;1800;Full;Black
1065;SeaSonic X;;ATX;gold;650;Full;
1066;Mars Gaming MP700;;ATX;;700;false;
1067;Silverstone Strider;;ATX;plus;600;false;
1068;ENDORFY Supremo FM5;;ATX;gold;850;Full;Black
1069;Deepcool DA600-M;;ATX;bronze;600;Full;Black
1070;ADATA XPG CYBERCORE II;279.99;ATX;platinum;1300;Full;Black
1071;ADATA XPG CYBERCORE;209.99;ATX;platinum;1300;Full;Black / Silver
1072;Silverstone Essential;94.39;ATX;gold;750;false;Black / Yellow
1073;SeaSonic PRIME PX;;ATX;platinum;650;Full;Black / Silver
1074;be quiet! Dark Power Pro 11;;ATX;platinum;850;Semi;
1075;SeaSonic ATX3-FOCUS-GX-850-WHITE;;ATX;gold;850;Full;White
1076;Raidmax Vortex;;ATX;gold;600;false;Black
1077;Antec High Current Gamer Gold;;ATX;gold;850;Full;Black
1078;Antec CSK;;ATX;bronze;450;false;Black / Yellow
1079;EVGA 550 B3;;ATX;bronze;550;Full;
1080;Thermaltake Smart BM2;;ATX;bronze;450;Semi;Black
1081;SeaSonic VERTEX PX-750;179.99;ATX;platinum;750;Full;Black / Silver
1082;EVGA SuperNOVA G FTW;114.99;ATX;gold;850;Full;Black
1083;Antec EARTHWATTS GOLD PRO 750;172.8;ATX;gold;750;Semi;Black
1084;In Win A55;;ATX;plus;550;false;Black
1085;Thermaltake Toughpower GF1 ARGB;;ATX;gold;850;Full;
1086;Cougar GEX X2;;ATX;gold;850;Full;Black
1087;Fractal Design Anode Bronze;;ATX;bronze;650;Semi;Black
1088;SeaSonic Core GC;;ATX;gold;650;false;Black
1089;Xilence XP750MR9;;ATX;gold;750;Semi;Black / Red
1090;Cooler Master Silent Pro Gold;;ATX;gold;800;Semi;
1091;GameMax GP;;ATX;bronze;500;false;Black
1092;Thermaltake Smart RGB 230V;;ATX;plus;700;false;Black
1093;Thermaltake Smart BX1 RGB 750;;ATX;bronze;750;false;Black
1094;Thermaltake Smart RGB;;ATX;plus;500;false;Black
1095;ADATA XPG CYBERCORE II;209.99;ATX;platinum;1000;Full;Black
1096;Thermaltake Toughpower SFX;;SFX;gold;650;Full;Black
1097;Thermaltake TOUGHPOWER PF1 ARGB;;ATX;platinum;1050;Full;
1098;Antec High Current Gamer;155.31;ATX;bronze;620;Semi;
1099;Deepcool PN650M;;ATX;gold;650;Full;Black
1100;FSP Group HYPER K PRO;;ATX;plus;500;false;Black / Yellow
1101;be quiet! STRAIGHT POWER E9 | 480W CM;;ATX;gold;480;Full;
1102;be quiet! Pure Power 10;;ATX;silver;500;false;
1103;Antec VP PLUS;;ATX;plus;450;false;Black
1104;SeaSonic TFX 350;;TFX;gold;350;Full;
1105;Gigabyte GreenMax Plus;;ATX;bronze;650;false;
1106;NZXT E500;;ATX;gold;500;Full;Black
1107;Asus ROG-STRIX-850G-GUNDAM-EDITION;;ATX;gold;850;Full;White
1108;Fractal Design Ion Gold;142.27;ATX;gold;650;Full;Black
1109;Silverstone Strider;98.8;ATX;bronze;700;Full;
1110;Antec Signature Platinum;;ATX;platinum;1300;Full;Black
1111;Corsair TX550M;;ATX;bronze;550;Semi;
1112;Thermaltake TR2;;ATX;bronze;380;false;
1113;GameMax GM;;ATX;bronze;300;false;Silver
1114;SilentiumPC Vero L2;;ATX;bronze;600;false;Black
1115;Super Flower Golden Green HX;;ATX;gold;350;false;
1116;Cooler Master GXII;;ATX;gold;750;Full;Black
1117;KOLINK Regulator;149.99;ATX;gold;1000;Full;Black
1118;Enermax MarbleBron RGB;;ATX;bronze;850;Semi;White
1119;be quiet! Pure Power 11 FM 550;;ATX;gold;550;Full;Black
1120;Gigabyte PW400;;ATX;plus;400;false;Black
1121;Phanteks AMP;;ATX;gold;650;Full;Black
1122;KOLINK KL-SFX250;;SFX;bronze;250;false;Black / Green
1123;SeaSonic G;;ATX;gold;550;Semi;
1124;Cooler Master MWE GOLD 750 V2;;ATX;gold;750;false;Black
1125;Cooler Master MWE GOLD 850 V2;;ATX;gold;850;false;Black
1126;be quiet! Dark Power 12;;ATX;titanium;850;Full;Black
1127;Silverstone DA550 Gold;;ATX;gold;550;Full;Black / White
1128;Super Flower Leadex V Platinum Pro;169.99;ATX;platinum;850;Full;White
1129;KOLINK Core RGB;;ATX;plus;700;false;Black
1130;FSP Group Hydro Pro;;ATX;bronze;600;false;Black
1131;EVGA 500 BA;64.69;ATX;bronze;500;false;Black
1132;Corsair TX850 V2;;ATX;bronze;850;false;
1133;be quiet! Pure Power 11 CM;;ATX;gold;500;Semi;Black
1134;Deepcool DQ650-M-V2L;;ATX;gold;650;Full;Black
1135;Silverstone SFX;;SFX;gold;450;Full;
1136;PC Power & Cooling PM0600;115.73;ATX;bronze;600;Semi;Black / Red
1137;Thermaltake Toughpower Grand RGB 750 SE;;ATX;gold;750;Full;Black
1138;Cooler Master V850;;ATX;gold;850;Full;Black
1139;Antec VP PLUS;;ATX;plus;600;false;Black
1140;Gigabyte PB500;;ATX;bronze;500;false;
1141;Antec NeoECO Gold ZEN;;ATX;gold;600;false;Black / Gold
1142;Corsair TX750M;;ATX;bronze;750;Semi;
1143;Cooler Master V1200;;ATX;platinum;1200;Full;
1144;Corsair HX1000;479.99;ATX;plus;1000;Semi;
1145;Corsair GS600;;ATX;bronze;600;false;
1146;FSP Group Hydro G Pro;;ATX;gold;850;Full;Black
1147;Montech CENTURY;;ATX;gold;650;Full;Black
1148;be quiet! STRAIGHT POWER E9 | 580W CM;;ATX;gold;580;Semi;
1149;SeaSonic PRIME Ultra Gold 850;129.99;ATX;gold;850;Full;Black
1150;SeaSonic PRIME TX-650;;ATX;titanium;650;Full;Black
1151;Cooler Master MWE Bronze V2;;ATX;bronze;500;false;Black
1152;ENDORFY Vero L5;;ATX;bronze;500;false;Black
1153;be quiet! Straight Power 11 550W;;ATX;gold;550;Full;
1154;BitFenix BFG GOLD ATX3.0;;ATX;gold;750;Full;Black
1155;Cooler Master MWE;;ATX;bronze;600;false;Black
1156;be quiet! Dark Power Pro 11;;ATX;platinum;650;Semi;
1157;G.Skill PS850G;;ATX;gold;850;Full;Black
1158;be quiet! System Power 10 U;;ATX;bronze;550;false;Black
1159;EVGA SuperNOVA 850 B2;;ATX;bronze;850;Semi;
1160;Silverstone Essential;91.23;ATX;gold;750;Semi;Black / Blue
1161;LC-Power LC6560GP3 V2.3 230V;;ATX;silver;560;false;Black
1162;be quiet! TFX Power 3 300;115.94;TFX;gold;300;false;Black
1163;FSP Group DAGGER PRO ATX3.0;;SFX;gold;850;Semi;Black
1164;Silverstone Strider Platinum;211.32;ATX;platinum;850;Full;
1165;Corsair CS450M;;ATX;gold;450;Semi;
1166;SeaSonic CORE GX-650;;ATX;gold;650;Full;Black
1167;Segotep GM;;ATX;gold;750;Full;White
1168;SeaSonic G;;ATX;gold;360;false;
1169;ARESGAME AGS;;ATX;gold;750;Semi;Black / Red
1170;Thermaltake TR2;;ATX;bronze;500;false;
1171;EVGA W3;;ATX;plus;500;false;Black
1172;Enermax PlatiGemini;249.99;ATX;platinum;1200;Full;Black
1173;Rosewill HIVE;;ATX;bronze;850;Full;
1174;Silverstone ST75F-GS-V3;98.5;ATX;gold;750;Full;Black
1175;Xilence XP550R9;134;ATX;gold;550;false;Black / Red
1176;Corsair VX550;;ATX;plus;550;false;
1177;Cooler Master X Silent Edge Platinum;;ATX;platinum;850;Full;Black
1178;NZXT HALE90 V2 1000W;;ATX;gold;1000;Full;
1179;be quiet! Pure Power 11 CM;;ATX;gold;400;Semi;Black
1180;Cooler Master V700;;ATX;gold;700;Full;
1181;SilentiumPC Vero L2;;ATX;bronze;500;false;Black
1182;EVGA SuperNOVA 750 G1;;ATX;gold;750;Full;
1183;Fractal Design Integra M;;ATX;bronze;550;Semi;
1184;Cooler Master G550M;;ATX;bronze;550;Semi;
1185;Segotep GF;;SFX;gold;750;Full;Black / Gray
1186;Xilence XP850MR9;139.01;ATX;gold;850;Semi;Black / Red
1187;FSP Group Hyper M85+;;ATX;bronze;650;Semi;Black
1188;Thermaltake Toughpower PF1 - TT Premium Edition;224.99;ATX;platinum;750;Full;Black
1189;KOLINK Core;;ATX;plus;400;false;Black
1190;Cooler Master GX III GOLD;;ATX;gold;650;Full;Black / Purple
1191;Silverstone Strider;276.45;ATX;silver;1500;false;
1192;Corsair VS400;369;ATX;plus;400;false;
1193;SeaSonic FOCUS;;ATX;gold;650;Semi;Black
1194;EVGA 650 B3;;ATX;bronze;650;Full;
1195;Thermaltake Toughpower Grand;;ATX;platinum;600;Semi;
1196;Thermaltake Smart;;ATX;bronze;550;false;
1197;Corsair AX750;;ATX;gold;750;Full;
1198;Super Flower Legion GX Pro;;ATX;gold;650;Semi;Black
1199;Cougar STX;;ATX;plus;650;false;
1200;Cooler Master B600 ver. 2;;ATX;plus;600;false;Black
1201;Antec EARTHWATTS GOLD PRO 650;;ATX;gold;650;Semi;Black
1202;Thermaltake Smart BX1 RGB 650;;ATX;bronze;650;false;Black
1203;Silverstone Extreme 1200R Platinum;;SFX;;1200;Full;
1204;Deepcool PN850D;;ATX;gold;850;Full;Black
1205;SeaSonic PRIME Ultra Platinum 750;169.99;ATX;platinum;750;Full;Black
1206;be quiet! Pure Power 10;;ATX;silver;600;false;
1207;Raidmax XT;;ATX;;500;false;
1208;Cooler Master MWE Gold;;ATX;gold;550;Full;Black
1209;EVGA 610 BP;;ATX;bronze;610;false;Black
1210;FSP Group Raider 550;;ATX;bronze;550;false;
1211;SHARKOON WPM Bronze;;ATX;bronze;600;Semi;
1212;be quiet! Pure Power L8;;ATX;bronze;350;false;
1213;Silverstone Nightjar;;ATX;platinum;520;Full;
1214;Thermalright TG;;ATX;gold;1000;Full;Black
1215;SeaSonic SS-300TFX Bronze;62.9;TFX;bronze;300;false;
1216;FSP Group Hydro PTM PRO;179.99;ATX;platinum;1000;Full;Black
1217;SeaSonic PRIME Ultra Titanium;;ATX;titanium;750;Full;
1218;KOLINK Regulator;169.99;ATX;gold;1200;Full;Black
1219;Chieftec Polaris;233.85;ATX;gold;550;Full;Black
1220;EVGA 700 B1;217.49;ATX;bronze;700;false;
1221;LC-Power LC6 V2.31;;ATX;gold;1000;Full;White / Gray
1222;Silverstone Strider Titanium;;ATX;titanium;1500;Full;Black / Blue
1223;Silverstone SX600-G;;SFX;gold;600;Full;
1224;Deepcool PM800D;;ATX;gold;800;false;Black
1225;Antec VP PLUS;;ATX;plus;550;false;Black
1226;Silverstone NJ450-SXL;;SFX;platinum;450;Full;Black / Blue
1227;Aerocool P7 Platinum;;ATX;platinum;850;Full;Black
1228;MSI MAG A650BN EVA e-PROJECT;;ATX;bronze;650;false;Black / Purple
1229;Silverstone HELA R;;ATX;platinum;1300;Full;Black
1230;Silverstone Strider Titanium;187.18;ATX;titanium;700;Full;
1231;Thermaltake Toughpower GF2 ARGB;144.99;ATX;gold;750;Full;Black
1232;FSP Group FSP220-60LE(80);;Mini ITX;plus;220;false;
1233;SeaSonic Platinum;;ATX;platinum;1000;Full;
1234;FSP Group CANNON PRO (230V);;ATX;gold;2000;Full;Black
1235;SeaSonic X;;ATX;gold;400;Full;
1236;Cooler Master MWE Gold 550;;ATX;gold;550;false;Black
1237;SilentiumPC Supremo FM2;;ATX;gold;650;Full;Black
1238;Silverstone Essential;119.99;ATX;gold;650;false;Black
1239;Cooler Master MWE Gold 650;;ATX;gold;650;false;Black
1240;Cooler Master MWE 450;;ATX;plus;450;false;Black
1241;Thermalright TG;;ATX;gold;1000;Full;White
1242;Apevia Prestige;;ATX;gold;1000;false;Black
1243;SeaSonic CORE GC-500;;ATX;gold;500;false;Black / Yellow
1244;Deepcool DQ750ST;;ATX;gold;750;false;
1245;Enermax Revolution D.F.;;ATX;gold;650;Full;Black
1246;Cooler Master MWE White V2 230V;;ATX;plus;450;false;Black
1247;Cooler Master MasterWatt 750 TUF Gaming Edition;;ATX;bronze;750;Semi;Black / Gray
1248;Silverstone Strider;;ATX;plus;700;false;
1249;Montech TITAN GOLD 750W;;ATX;gold;750;Full;Black
1250;Fractal Design Integra R2;;ATX;bronze;500;false;
1251;ABS Majesty;;ATX;gold;1100;Full;
1252;Cooler Master MWE Gold V2 ATX3.0;;ATX;gold;1050;Full;White
1253;ADATA XPG CYBERCORE;189.99;ATX;platinum;1000;Full;Black / Silver
1254;YEYIAN Raiden RGB;69.98;ATX;bronze;650;false;Black
1255;Thermalright TB650S;;ATX;bronze;650;false;Black
1256;Phanteks Revolt Pro;380;ATX;gold;850;Full;Silver / Black
1257;Corsair HX750;;ATX;gold;750;Semi;
1258;Thermaltake TR2 S;;ATX;plus;650;false;
1259;Enermax Revolution D.F.;;ATX;gold;850;Full;Black / Silver
1260;Cougar POLAR X2;;ATX;platinum;1200;Full;White / Gray
1261;SeaSonic Platinum;;ATX;platinum;660;Full;
1262;OCZ ModXStream Pro;;ATX;plus;700;Semi;
1263;Zalman ZM500-RS;;ATX;plus;500;false;
1264;SeaSonic FOCUS SGX;;SFX;gold;450;Full;Black
1265;FSP Group AU-400FL;;ATX;gold;400;Semi;
1266;Cooler Master Elite;;ATX;;460;false;
1267;Xigmatek Vector;;ATX;gold;750;Semi;
1268;Silverstone Strider;;ATX;gold;650;Full;
1269;Azza PSAZ-650B14;;ATX;;650;false;
1270;Super Flower Leadex V Pro;174.99;ATX;gold;1000;Full;White
1271;Super Flower Leadex VI Platinum PRO;179.99;ATX;platinum;850;Full;Black / Blue
1272;Rosewill SMG650;;ATX;gold;650;Full;Black
1273;Chieftec Polaris;;ATX;gold;850;Full;Black
1274;Deepcool PL550D;;ATX;bronze;550;false;Black
1275;Silverstone ST85F-GS-V2;128.46;ATX;gold;850;Full;
1276;SeaSonic PRIME PX;;ATX;platinum;1600;Full;Black / Silver
1277;LC-Power LC6 V2.31;;ATX;gold;650;Full;Black / Gray
1278;Thermaltake Toughpower Grand RGB 850 SE;;ATX;gold;850;Full;Black
1279;SeaSonic SSP-300ST;;ATX;bronze;300;false;
1280;Antec NeoECO Gold;;ATX;gold;650;Full;
1281;Xigmatek ACXTNRP-PC502;;ATX;bronze;500;false;
1282;SHARKOON SilentStorm Icewind Black;;ATX;bronze;550;Semi;Black
1283;SeaSonic FOCUS Gold;;ATX;gold;450;Semi;
1284;SeaSonic G;;ATX;gold;650;Semi;
1285;EVGA 750 B3;;ATX;bronze;850;Full;
1286;MSI MAG A650BNL;;ATX;bronze;650;false;Black
1287;Deepcool DQ750-M-V2L;;ATX;gold;750;Full;White / Black
1288;FSP Group Dagger Pro;;SFX;gold;550;Full;Black
1289;Antec Earthwatts Green;108.11;ATX;plus;500;false;
1290;Cougar GEX X2;;ATX;gold;1000;Full;Black
1291;be quiet! Pure Power 10 CM;;ATX;silver;400;Semi;
1292;Corsair Vengeance 550M;;ATX;bronze;550;Semi;
1293;Super Flower Legion GX Pro;;ATX;gold;750;Semi;Black
1294;Corsair AX1500i 240V;;ATX;titanium;1500;Full;
1295;Apex AG-M;;ATX;gold;850;Full;Black
1296;FSP Group Hyper M;;ATX;plus;700;Semi;Black
1297;Antec NeoECO Gold ZEN;;ATX;gold;500;false;Black / Gold
1298;PC Power & Cooling Silencer Mk II;;ATX;silver;950;false;
1299;Thermaltake TR2;;ATX;;700;false;
1300;Silverstone Strider Plus;;ATX;bronze;500;Full;
1301;EVGA 750 B3;;ATX;bronze;750;Full;
1302;be quiet! Pure Power L8;;ATX;bronze;630;Semi;Black / Orange
1303;be quiet! Straight Power 10 CM;;ATX;gold;800;Semi;
1304;Fractal Design Ion+ 760P;;ATX;platinum;760;Full;Black
1305;FSP Group HYPER S;;ATX;plus;500;false;Black
1306;Fractal Design Anode Bronze;131.87;ATX;bronze;750;Semi;Black
1307;FSP Group FSP500-50FSPT;198.99;Flex ATX;platinum;500;false;
1308;Xilence Performance A+ III;;ATX;bronze;450;false;Black / Red
1309;be quiet! Straight Power 11;;ATX;platinum;650;Full;Black
1310;be quiet! Straight Power 11;;ATX;platinum;550;Full;Black
1311;Chieftec Polaris;;ATX;gold;1050;Full;Black
1312;GameMax GT;;TFX;bronze;300;false;Silver
1313;FSP Group Hydro G Pro;;ATX;gold;650;Full;Black
1314;In Win P75;129.94;ATX;gold;750;Full;Black
1315;SeaSonic PRIME SNOWSILENT;;ATX;platinum;650;Full;White
1316;SeaSonic PRIME Ultra Gold 1000;;ATX;gold;1000;Full;Black
1317;Silverstone SFX;;SFX;bronze;450;false;
1318;Thermaltake Toughpower iRGB PLUS 1000 Platinum;;ATX;platinum;1000;Full;Black
1319;be quiet! System Power 8;;ATX;plus;600;false;
1320;Enermax MAXPRO;;ATX;plus;500;false;
1321;GameMax GM;;ATX;gold;2000;false;Black
1322;FSP Group FSP300-57FCB;;Flex ATX;gold;300;Full;Black
1323;HEC HEC200SA-2FX;;Mini ITX;;200;false;
1324;FSP Group FSP500-50FGGBN;;Flex ATX;gold;500;false;
1325;XFX TS;;ATX;bronze;550;false;
1326;Antec Earthwatts;;ATX;bronze;650;false;
1327;SilentiumPC Supremo FM2;;ATX;gold;750;Full;Black
1328;Thermaltake Toughpower GF2 ARGB;;ATX;gold;850;Full;Black
1329;Thermaltake Smart BX1 RGB 550;;ATX;bronze;550;false;Black
1330;be quiet! Power Zone 650W;;ATX;bronze;650;Full;
1331;be quiet! Power Zone 750W;;ATX;bronze;750;Full;
1332;Deepcool DA600N;;ATX;bronze;600;false;Black
1333;Rosewill PHOTON-750;;ATX;gold;750;Full;
1334;FSP Group FSP450-60GHS(85)-R;;SFX;bronze;450;false;
1335;Cooler Master MWE Gold V2 ATX3.0;;ATX;gold;750;Full;White
1336;Thermaltake Toughpower GF1 ARGB;;ATX;gold;750;Full;
1337;Thermaltake Toughpower GF1 - TT Premium;201.99;ATX;gold;1200;Full;Black
1338;GAMDIAS KRATOS E1;;ATX;plus;500;false;Black
1339;Corsair TX650;;ATX;bronze;650;false;
1340;Thermaltake Smart;;ATX;plus;430;false;
1341;Cooler Master GX;;ATX;bronze;750;false;
1342;Deepcool PK800D;;ATX;bronze;800;false;Black
1343;Cougar LX500;;ATX;bronze;500;Full;Black
1344;Cooler Master MWE White V2 230V;;ATX;plus;550;false;Black
1345;XFX XT;;ATX;bronze;500;false;
1346;be quiet! Pure Power 11 FM 1000;;ATX;gold;1000;Full;Black
1347;SilentiumPC Elementum E2 230V;;ATX;plus;550;false;Black
1348;Super Flower Leadex III Super Pro;;ATX;bronze;650;Full;Black
1349;Cooler Master MasterWatt Lite 600W Full Range;;ATX;plus;600;false;
1350;Silverstone Strider Titanium;;ATX;titanium;800;Full;
1351;Phanteks AMP;;ATX;gold;1000;Full;Black
1352;SeaSonic PRIME Titanium;;ATX;titanium;750;Full;
1353;Thermaltake Toughpower GF1 - TT Premium;;ATX;gold;1000;Full;Black
1354;Aerocool XPredator GM;;ATX;gold;1000;Semi;Black
1355;SeaSonic PRIME Platinum;;ATX;platinum;850;Full;
1356;Silverstone TX300;82.22;TFX;bronze;300;false;Black
1357;Sparkle ATX-350PN-B204;57.99;ATX;;350;false;
1358;Cougar GX-S;;ATX;gold;550;false;
1359;Antec True Power;;ATX;gold;750;false;
1360;EVGA 510 BP;;ATX;bronze;510;false;Black
1361;SeaSonic M12II;;ATX;bronze;430;false;
1362;Montech GAMMA II;;ATX;gold;550;false;Black
1363;Cooler Master 400W MasterWatt Lite 230V;;ATX;plus;400;false;
1364;Xigmatek Vector;;ATX;gold;650;Semi;
1365;Corsair VS600;;ATX;plus;600;false;
1366;Antec NeoECO Gold ZEN;;ATX;gold;700;false;Black / Gold
1367;Cooler Master GX;;ATX;plus;650;false;
1368;Thermaltake Toughpower iRGB PLUS TT Premium Edition;;ATX;titanium;1250;Full;Black
1369;SilentiumPC Supremo L2 V2;;ATX;gold;550;false;Black
1370;be quiet! System Power 10 U;;ATX;bronze;650;false;Black
1371;In Win A65;;ATX;plus;650;false;Black
1372;Thermaltake German;;ATX;plus;630;false;
1373;Xilence XP430R8;;ATX;bronze;430;false;Black / Red
1374;Sentey SDP650-SS;;ATX;plus;650;false;
1375;FSP Group HYPER S;;ATX;plus;600;false;Black
1376;Super Flower Legion GX Pro;;ATX;gold;550;Semi;Black
1377;RAIJINTEK CRATOS;94.9;ATX;gold;850;Full;Black
1378;LC-Power LC V2.31;;TFX;;400;false;Black
1379;EVGA SuperNOVA 750 PQ;218.49;ATX;platinum;750;Semi;Black
1380;Rosewill VALENS-600;140;ATX;gold;600;false;
1381;SeaSonic SSP-300TBS;73.09;TFX;bronze;300;false;Silver
1382;In Win P85;159.65;ATX;gold;850;Full;Black
1383;Thermaltake Toughpower Grand RGB 650 SE;;ATX;gold;650;Full;Black
1384;SeaSonic 750FX WHITE;;ATX;gold;750;Full;White
1385;In Win P65;121.35;ATX;gold;650;Full;Black
1386;Cooler Master GX III GOLD;;ATX;gold;1050;Full;Black / Purple
1387;Cooler Master V550;;ATX;gold;550;Full;
1388;Thermaltake Smart;;ATX;plus;730;false;
1389;Rosewill RBR1000-M;;ATX;bronze;1000;Semi;
1390;Zalman ZM600-ST;;ATX;plus;600;false;
1391;be quiet! System Power U9;;ATX;bronze;600;false;Black
1392;be quiet! System Power 8;;ATX;plus;500;false;
1393;FSP Group Hydro G;;ATX;gold;750;Full;
1394;Cooler Master 500W MasterWatt Lite 230V;;ATX;plus;500;false;
1395;Xigmatek NRP-PC702;;ATX;bronze;700;false;
1396;be quiet! Dark Power Pro 11;;ATX;platinum;1000;Semi;
1397;KOLINK Core;;ATX;plus;300;false;Black
1398;EVGA SuperNOVA 1000 G1;;ATX;gold;1000;Full;
1399;be quiet! Pure Power L8;;ATX;bronze;500;false;
1400;Corsair CS850M;;ATX;gold;850;Semi;
1401;Xilence XP700R6;;ATX;;700;false;Black / Red
1402;Silverstone NJ700;;ATX;titanium;700;Full;Silver
1403;Enermax Platimax D.F.;150.99;ATX;platinum;1050;Full;Black
