id;name;price;type;efficiency;wattage;modular;color
647;Silverstone Strider Platinum S;214.99;ATX;platinum;1000;Full;Black
648;EVGA SuperNOVA 1300 G2;;ATX;gold;1300;Full;
649;Super Flower Leadex III ARGB;124.99;ATX;gold;650;Full;White
650;Cooler Master Elite 400 V3;;ATX;plus;400;false;Black
651;Corsair SF450;;SFX;gold;450;Full;
652;Super Flower Leadex VI Platinum PRO;149.99;ATX;platinum;1000;Full;Black / Blue
653;Asus ROG Strix Aura Edition;154.99;ATX;gold;750;Full;Black
654;Enermax MAXREVO SLI;149.94;ATX;gold;1350;Full;Black / Gold
655;ARESGAME AGK;;ATX;gold;850;Full;Black / Red
656;Antec CSK;80.55;ATX;bronze;650;false;Black / Yellow
657;SHARKOON SilentStorm;139.68;SFX;gold;500;Full;Black
658;EVGA N1;54.99;ATX;;550;false;
659;SHARKOON SilentStorm Cool Zero 750;138.65;ATX;gold;750;Full;Black
660;EVGA SuperNOVA 650 G6;116.33;ATX;gold;650;Full;Black
661;EVGA SuperNOVA 750 P2;299.99;ATX;platinum;750;Full;
662;NZXT E850;109.99;ATX;gold;850;Full;Black
663;Cooler Master V550 SFX GOLD;;SFX;gold;550;Full;Black
664;PowerSpec GFM;;ATX;gold;750;Full;Black
665;PowerSpec PS 650BSM;;ATX;bronze;650;Semi;Black
666;Thermaltake Toughpower PF3-L;209.99;ATX;platinum;1200;Full;Black
667;Antec NE1300G M ATX3.0;209.99;ATX;gold;1300;Full;Black
668;Cooler Master V850 Gold V2;202.25;ATX;gold;850;Full;Black
669;Cooler Master V850 V2;;ATX;gold;850;Full;White
670;Phanteks AMP v2;;ATX;gold;1000;Full;Black
671;Thermaltake Smart BX1 550;96;ATX;bronze;550;false;Black
672;Thermaltake Toughpower Grand RGB;;ATX;gold;850;Full;
673;Silverstone HELA 850R;223.07;ATX;platinum;850;Full;Black / Silver
674;Phanteks Revolt SFX;;SFX;gold;750;Full;Black
675;Aerocool AER-P7-P650W;;ATX;platinum;650;Full;
676;Silverstone DA750R-GMA;;ATX;gold;750;Full;White
677;Aerocool Integrator MOD XT;;ATX;bronze;750;Semi;Black / Red
678;EVGA 600 B1;139.99;ATX;bronze;600;false;
679;Cooler Master MWE White V2 230V;;ATX;plus;700;false;Black
680;Corsair HX750i;;ATX;platinum;750;Full;
681;Enermax Revolution D.F. X;110.93;ATX;gold;1200;Full;Black
682;Thermaltake Toughpower Grand RGB;144.98;ATX;gold;750;Full;
683;Corsair RM1000;;ATX;gold;1000;Full;
684;SeaSonic PRIME PX;519;ATX;platinum;1000;Full;Black / Silver
685;Cooler Master XG750 Plus;120.99;ATX;platinum;750;Full;Black
686;Enermax REVOLUTION D.F. 2;106.99;ATX;gold;850;Full;Black
687;Thermaltake Smart RGB;;ATX;plus;700;false;
688;ADATA XPG Core Reactor II;87.99;ATX;gold;650;Full;Black
689;FSP Group HEXA 85+ PRO;;ATX;bronze;650;false;Black
690;EVGA SuperNOVA 1000 G3;389.99;ATX;gold;1000;Full;
691;Thermaltake Toughpower PF3-L;169.99;ATX;platinum;1050;Full;Black
692;SHARKOON SilentStorm Cool Zero 650;124.76;ATX;gold;650;Full;Black
693;Corsair CX550M (2021);;ATX;bronze;550;Semi;Black
694;SeaSonic PRIME;129.99;ATX;gold;850;Full;Black
695;EVGA SuperNOVA 650 G1;223.49;ATX;gold;650;Full;
696;Corsair CS650M;;ATX;gold;650;Semi;
697;Phanteks Revolt X;;ATX;platinum;1200;Full;Black / Silver
698;Cooler Master MWE White V2 230V;;ATX;plus;750;false;Black / White
699;Corsair CX850M;;ATX;bronze;850;Semi;
700;EVGA SuperNOVA 650 P2;339.99;ATX;platinum;650;Full;
701;Corsair TX850M Gold;;ATX;gold;850;Semi;
702;Enhance ENP-7660;;Flex ATX;platinum;600;false;Silver
703;EVGA SuperNOVA 1000 P6;408.2;ATX;platinum;1000;Full;Black / Silver
704;NZXT C750;;ATX;bronze;750;Semi;Black
705;FSP Group Dagger Pro;179.99;SFX;gold;850;Full;Black / Gold
706;Cooler Master MWE Gold 750;;ATX;gold;750;Full;Black
707;Super Flower Leadex V Pro;299.99;ATX;platinum;1000;Full;White
708;Cooler Master MasterWatt;110;ATX;bronze;750;Semi;Black
709;ENDORFY Vero L5;;ATX;bronze;600;false;Black
710;Thermaltake Litepower;;ATX;;550;false;
711;EVGA SuperNOVA NEX650G Gold;;ATX;gold;650;Full;
712;Thermalright TB-750;;ATX;bronze;750;Full;Black
713;Cougar GEX;109.99;ATX;gold;850;Full;Black
714;GameMax GM;;ATX;bronze;800;Semi;Black
715;Corsair RM750x White;349;ATX;gold;750;Full;White / Black
716;Corsair TX650;255;ATX;plus;650;false;
717;Thermaltake Toughpower GF1 PE;123.95;ATX;gold;750;Full;Black
718;ENDORFY Supremo FM5;;ATX;gold;750;Full;Black
719;EVGA GE;89.46;ATX;gold;700;false;Black
720;EVGA 450 BT;;ATX;bronze;450;false;
721;EVGA 500 B1;;ATX;bronze;500;false;
722;Cooler Master V750 Gold V2;;ATX;gold;750;Full;Black
723;EVGA SuperNOVA 750 G7;134.99;ATX;gold;750;Full;Black / Blue
724;Gigabyte UD1300GM PG5;199.99;ATX;gold;1300;Full;Black
725;SeaSonic Prime Fanless PX-500;;ATX;platinum;500;Full;Black
726;MSI MAG A500DN;;ATX;plus;500;false;Black
727;be quiet! Straight Power 11;168.48;ATX;platinum;750;Full;Black
728;be quiet! Dark Power Pro 12;;ATX;titanium;1500;Full;Black
729;Corsair AX860;;ATX;platinum;860;Full;
730;EVGA SuperNOVA 1600 P2;;ATX;platinum;1600;Full;
731;Thermaltake Toughpower GF A3 ATX 3.0;;ATX;gold;1050;Full;Black
732;Corsair VS650;;ATX;;650;false;
733;Corsair RM750i;;ATX;gold;750;Full;
734;Cooler Master V850 Gold i;;ATX;gold;850;Full;Black / Gold
735;iTek GF750 EVO;;ATX;gold;750;Full;Black / Red
736;YEYIAN Raiden;;ATX;plus;500;false;Black
737;SeaSonic B12 BC;;ATX;bronze;550;false;
738;NOX Hummer;;ATX;bronze;650;Semi;
739;Antec Signature;;ATX;titanium;1000;Full;Black / Silver
740;Cooler Master V650;138.65;ATX;gold;650;Full;
741;EVGA SuperNOVA 750 G+;;ATX;gold;750;Full;Black
742;Cooler Master G500;;ATX;gold;500;false;Black
743;Fractal Design Ion+ 2 Platinum;190.42;ATX;platinum;560;Full;Black
744;CoolMax V-400;47.68;ATX;;400;false;
745;PowerSpec PSX 850GFM;;ATX;gold;850;Full;Black
746;Thermaltake Smart RGB 230V;65.09;ATX;plus;600;false;Black
747;Gigabyte AORUS P GM;;ATX;gold;850;Full;Black / Silver
748;BitFenix BFG GOLD ATX3.0;99.9;ATX;gold;850;Full;Black
749;SeaSonic PRIME;223.11;ATX;gold;1000;Full;Black
750;be quiet! SFX Power 3 300;149.47;SFX;bronze;300;false;Black
751;Apevia ATX-CB700W;;ATX;;700;false;
752;Corsair VS600 (2020);;ATX;bronze;600;false;Black
753;Corsair HX850;;ATX;platinum;850;Full;Black
754;Mars Gaming MPII650;;ATX;;650;false;Black / Red
755;Corsair TX750;;ATX;plus;750;false;
756;Cougar VTX;;ATX;bronze;500;false;Black
757;Silverstone TX700-G;169.99;TFX;gold;700;false;Black
758;SeaSonic CORE GM;;ATX;gold;500;Semi;Black
759;Corsair RM650;222.19;ATX;gold;650;Full;
760;Super Flower LEADEX VII XG;219.99;ATX;gold;1000;Full;White
761;Thermaltake Toughpower GX1 RGB;;ATX;gold;700;false;Black
