id;name;price;core_count;core_clock;boost_clock;tdp;graphics;smt;socket
2664;Xeon E3-1275 V6;361.55;4;3.8;4.2;73;HD Graphics P630;t;test
2675;Phenom II X4 940 Black;;4;3;;125;;f;test
2677;Pentium E2180;;2;2;;65;;f;test
2678;Pentium E2200;;2;2.2;;65;;f;test
2684;Core 2 Duo E6540;;2;2.33;;65;;f;test
2692;Core i5-750S;;4;2.4;;82;;f;test
2699;Core 2 Quad Q9505S;;4;2.83;;65;;f;test
2716;Phenom II X3 720 Black;;3;2.8;;95;;f;test
2721;Phenom II X4 980 Black;;4;3.7;;125;;f;test
2732;Athlon II X2 221;;2;2.8;;65;;f;test
2735;Athlon X4 530;;4;2;;25;;f;test
2736;Pro A6-7400B;;2;3.5;3.9;65;Radeon R5 (on die);f;test
2739;Xeon E3-1230 V5;;4;3.4;3.8;80;;t;test
2742;Xeon E5-2450V2;;8;2.5;3.3;95;;t;test
2743;Xeon E3-1270 V6;;4;3.8;4.2;72;;t;test
2746;Xeon E-2134;;4;3.5;4.5;71;;t;AM5
1424;Ryzen 9 7900;369;12;3.6;5.4;65;Radeon;t;AM5
1425;Ryzen 7 8700G;329;8;4.2;5.1;65;Radeon 780M;t;AM5
1432;Ryzen 5 8600G;228.99;6;4.3;5;65;Radeon 760M;t;AM5
1436;Ryzen 5 7500F;;6;3.7;5;65;;t;AM5
1588;Ryzen 9 PRO 7945;;12;3.7;5.4;65;Radeon;t;AM5
1761;Ryzen 5 PRO 7645;;6;3.8;5.1;65;Radeon;t;AM5
1769;Ryzen 7 PRO 7745;;8;3.8;5.3;65;Radeon;t;AM5
1860;Ryzen 7 PRO 7745;;8;3.8;5.3;65;Radeon;t;AM5
