id;name;price;core_count;core_clock;boost_clock;tdp;graphics;smt;socket
1231;Phenom II X4 960T Black;;4;3;;95;;f;test
1238;5350;;4;2.05;;25;Radeon HD 8400;f;test
1240;Sempron X2 198;;2;2.5;;65;;f;test
1241;Sempron X2 198;;2;2.5;;65;;f;test
1242;Sempron X2 190;;2;2.5;;45;;f;test
1248;Celeron G470;;1;2;;35;HD Graphics;t;test
1249;FX-4200;;4;3.3;;125;;f;test
1255;Athlon X2 370K;;2;4.2;;65;;f;test
1256;Xeon E5-1660 V2;;6;3.7;4;130;;t;test
1265;Xeon E5-2603 V2;;4;1.8;;80;;f;test
1266;Xeon E3-1245 V3;;4;3.4;3.8;84;HD Graphics P4600;t;test
1271;Xeon E3-1225 V5;;4;3.3;3.7;80;HD Graphics P530;f;test
1284;Xeon E5-2440V2;;8;1.9;2.4;95;;t;test
1287;Xeon E-2146G;988;6;3.5;4.5;80;HD Graphics P630;t;test
1291;Xeon E3-1275 V6;361.55;4;3.8;4.2;73;HD Graphics P630;t;test
1302;Phenom II X4 940 Black;;4;3;;125;;f;test
1304;Pentium E2180;;2;2;;65;;f;test
1305;Pentium E2200;;2;2.2;;65;;f;test
1311;Core 2 Duo E6540;;2;2.33;;65;;f;test
1319;Core i5-750S;;4;2.4;;82;;f;test
1326;Core 2 Quad Q9505S;;4;2.83;;65;;f;test
1343;Phenom II X3 720 Black;;3;2.8;;95;;f;test
1348;Phenom II X4 980 Black;;4;3.7;;125;;f;test
1359;Athlon II X2 221;;2;2.8;;65;;f;test
1362;Athlon X4 530;;4;2;;25;;f;test
1363;Pro A6-7400B;;2;3.5;3.9;65;Radeon R5 (on die);f;test
1366;Xeon E3-1230 V5;;4;3.4;3.8;80;;t;test
1369;Xeon E5-2450V2;;8;2.5;3.3;95;;t;test
1370;Xeon E3-1270 V6;;4;3.8;4.2;72;;t;test
1373;Xeon E-2134;;4;3.5;4.5;71;;t;test
1435;Threadripper 3970X;1675;32;3.7;4.5;280;;t;test
1536;FX-8350;208;8;4;;125;;f;test
1484;Threadripper 3960X;1244.02;24;3.8;4.5;280;;t;AM3+
1487;Ryzen 5 1600 (14nm);256.07;6;3.2;3.6;65;;t;test
1500;Ryzen 5 1600 (12nm);120;6;3.2;3.6;65;;t;test
1504;Xeon E5-2699 V4;190;22;2.2;3.6;145;;t;test
1515;Ryzen 7 5700;;8;3.7;4.6;65;;t;test
1519;Xeon E5-2630 V2;;6;2.6;3.1;80;;t;test
1534;Xeon E5-2680 V4;1975;14;2.4;3.3;120;;t;test
1550;Ryzen 3 1200 (14nm);105;4;3.1;3.4;65;;f;test
1557;Threadripper 1900X;109.99;8;3.8;4;180;;t;test
1566;Athlon 3000G (14nm);;2;3.5;;35;Radeon Vega 3;t;test
1573;Threadripper 2990WX;2500;32;3;4.2;250;;t;test
1578;300;88.1;2;3.9;;46;UHD Graphics 710;t;test
1584;Xeon E5-2683 V4;1998.95;16;2.1;3;120;;t;test
1589;Threadripper 1920X;270;12;3.5;4;180;;t;test
1608;Threadripper 1950X;914.29;16;3.4;4;180;;t;test
1609;Xeon E5-2650 V4;;12;2.2;2.9;105;;t;test
1613;Celeron G4930;48.75;2;3.2;;54;UHD Graphics 610;f;test
1616;2650;84.71;2;1.45;;25;Radeon HD 8240;f;test
1622;Threadripper 2950X;1075;16;3.5;4.4;180;;t;test
1640;Xeon E5-1650 V4;84.94;6;3.6;4;140;;t;test
1648;Core i9-9900K (Standard Folding Box);406.96;8;3.6;5;95;UHD Graphics 630;t;test
1655;Ryzen 3 1200 (12nm);105;4;3.1;3.4;65;;f;test
1660;Xeon E5-2683 V4;189.95;16;2.1;3;120;;t;test
1661;Core i9-10850KA Avengers Limited Edition;;10;3.6;5.2;125;UHD Graphics 630;t;test
1671;Celeron G5905;;2;3.5;;58;UHD Graphics 610;f;test
1672;Threadripper 2970WX;1099.99;24;3;4.2;250;;t;test
1676;Threadripper 2920X;707.8;12;3.5;4.3;180;;t;test
1682;Xeon E5-2697 V4;;18;2.3;3.6;145;;t;test
1689;5350;;4;2.05;;25;Radeon HD 8400;f;test
1703;Xeon E5-2687W V4;1900.16;12;3;3.5;160;;t;test
1714;Xeon E5-2697 V2;;12;2.7;3.5;130;;t;test
1719;Ryzen 9 3900;;12;3.1;;65;;t;test
1733;Core 2 Quad Q6600;;4;2.4;;100;;f;test
1734;Xeon E3-1231 V3;;4;3.4;3.8;80;;t;test
1737;Core i7-4960X Extreme Edition;775.04;6;3.6;4;130;;t;test
1739;Xeon E5-2695 V2;189;12;2.4;3.2;115;;t;test
1747;Xeon E5-2630 V4;335.07;10;2.2;3.1;85;;t;test
1748;Xeon E5-2650 V2;185;8;2.6;3.4;95;;t;test
1754;Pentium E2220;19.98;2;2.4;;65;;f;test
1758;Xeon E5-2698 V4;;20;2.2;3.6;135;;t;test
1764;Core i5-6402P;80;4;2.8;3.4;65;HD Graphics 510;f;test
1770;Xeon E5-2660 V4;399;14;2;3.2;105;;t;test
1774;Core i5-9500T;;6;2.2;3.7;35;UHD Graphics 630;f;test
1777;Celeron G4900T;59.95;2;1.8;;35;UHD Graphics 610;f;test
1778;Phenom II X4 965 Black;;4;3.4;;125;;f;test
1783;Core i5-6500T;;4;2.5;3.1;35;HD Graphics 530;f;test
1803;Xeon E5-1630 V4;229.95;4;3.7;4;140;;t;test
1804;Phenom II X6 1090T Black;;6;3.2;;125;;f;test
1809;Core i7-10700K Avengers Collector's Edition;741;8;3.8;5.1;125;UHD Graphics 630;t;test
1811;Athlon II 160u;;1;1.8;;20;;f;test
1814;Xeon E5-2620 V4;429.95;8;2.1;3;85;;t;test
1817;Xeon E5-1660 V2;1129;6;3.7;4;130;;t;test
1823;Xeon E-2176G;643.62;6;3.7;4.7;80;HD Graphics P630;t;test
1826;Celeron G5925;53.99;2;3.6;;58;UHD Graphics 610;f;test
1827;Xeon E3-1230 V2;271.85;4;3.3;;69;;t;test
1828;Xeon E3-1240L V5;;4;2.1;3.2;25;;t;test
1831;Core i7-3970X Extreme Edition;;6;3.5;;150;;t;test
1843;Xeon E3-1270 V3;420;4;3.5;3.9;80;;t;test
1845;Xeon E5-2695 V4;;18;2.1;3.3;120;;t;test
1848;Athlon X2 370K;;2;4.2;;65;;f;test
1858;A10-7860k;;4;3.6;4;65;Radeon R7 (on-die);f;test
1861;Xeon E3-1245 V5;474.39;4;3.5;3.9;80;HD Graphics P530;t;test
1862;Xeon E5-1620 V4;148.94;4;3.5;3.8;140;;t;test
1865;Athlon 3000G (14nm);;2;3.5;;35;Radeon Vega 3;t;test
1876;Core i7-3960X Extreme Edition;295.16;6;3.3;;130;;t;test
1881;Xeon E5-2640 V4;;10;2.4;3.4;90;;t;test
1885;Xeon E3-1230 V3;315.86;4;3.3;3.7;80;;t;test
1888;Xeon E5-2690 V2;;10;3;3.6;130;;t;test
1890;Phenom II X6 1100T Black;;6;3.3;;125;;f;test
1899;Threadripper 2990WX;;32;3;4.2;250;;t;test
1919;Core i3-9100T;;4;3.1;3.7;35;UHD Graphics 630;f;test
1924;Core i7-990X Extreme Edition;;6;3.467;;130;;t;test
1926;Core i7-9700T;;8;2;4.3;35;HD Graphics 630;f;test
1937;Xeon E3-1220 V3;103.6;4;3.1;3.5;80;;f;test
1939;Xeon E5-1650 V2;229.95;6;3.5;3.9;130;;t;test
